Uid	Name	Type	Category	SubCategory	PartsID	Class	ImagePath	MaxOverlayCount	CoolTime	Price	AntiFlag	Description	StatusID1	StatusSuffix1	StatusValue1	StatusID2	StatusSuffix2	StatusValue2	OptionType1	OptionSuffix1	OptionValue1	OptionType2	OptionSuffix2	OptionValue2	OptionType3	OptionSuffix3	OptionValue3	OptionType4	OptionSuffix4	OptionValue4	OptionType5	OptionSuffix5	OptionValue5
# 재화																																	
301011001	골드	Currency	Gold	None	None	Normal	Gold	0	0	0	Stash,Shop	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
301021001	실버	Currency	Silver	None	None	Normal	Silver	0	0	0	Stash,Shop	None	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
# 장비																																	
# 무기																																	
101011001	무딘 칼	Equip	Weapon	Sword	Weapon	Normal	Sword1	999	0	100	Stash	무딘 칼 입니다.	STAT_ATK	PLUS	10	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
101011002	날선 칼	Equip	Weapon	Sword	Weapon	Normal	Sword2	999	0	110	None	날카로운 칼 입니다.	STAT_ATK	PLUS	30	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
# 상의																																	
102011001	상의 1	Equip	Armor	Chest	Chest	Normal	Top1	999	0	120	Shop	기본 상의 입니다.	STAT_DEF	PLUS	5	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
102011002	상의 2	Equip	Armor	Chest	Chest	Normal	Top2	999	0	130	None	방어력이 조금 높은 상의 입니다.	STAT_DEF	PLUS	15	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
# 다리																																	
102021001	다리 1	Equip	Armor	Boots	Boots	Normal	Leg1	999	0	140	Stash,Shop	기본 신발입니다.	STAT_DEF	PLUS	1	STAT_MOVE_SPEED	PLUS	10	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
102021002	다리 2	Equip	Armor	Boots	Boots	Normal	Leg2	999	0	150	None	이동속도가 조금 빠른 신발입니다.	STAT_DEF	PLUS	15	STAT_MOVE_SPEED	PLUS	20	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
# 물약																																	
201011001	작은 HP포션	Consumable	Potion	RecoverHp	None	Normal	HpPotion1	999	1	160	None	생명력을 {StatusValue1} 만큼 회복합니다.	NONE	NONE	100	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201011002	큰 HP포션	Consumable	Potion	RecoverHp	None	Normal	HpPotion2	999	1	170	None	생명력을 {StatusValue1} 만큼 회복합니다.	NONE	NONE	50	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201021001	작은 MP포션	Consumable	Potion	RecoverMp	None	Normal	MpPotion1	999	1	180	None	마력을 {StatusValue1} 만큼 회복합니다.	NONE	NONE	100	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201021002	큰 MP포션	Consumable	Potion	RecoverMp	None	Normal	MpPotion2	999	1	190	None	마력을 {StatusValue1} 만큼 회복합니다.	NONE	NONE	50	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201031001	공격속도 증가	Consumable	Potion	IncreaseAttackSpeed	None	Normal	AttackSpeedPotion1	999	3	200	None	None	AFFECT_UID	NONE	110002	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
201041002	이동속도 증가	Consumable	Potion	IncreaseMoveSpeed	None	Normal	MoveSpeedPotion1	999	3	210	None	None	AFFECT_UID	NONE	110001	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0	NONE	NONE	0
